SCA,SCAx,SCAy,Field X,Field Y
7,-2.56,-12.8,-0.3305,0.0896
7,2.56,-12.8,-0.3459,0.0897
7,7.68,-12.8,-0.3615,0.0899
7,12.8,-12.8,-0.3769,0.0902
7,17.92,-12.8,-0.3922,0.0904
7,-17.92,-7.68,-0.2841,0.1045
7,-12.8,-7.68,-0.2997,0.1046
7,-7.68,-7.68,-0.315,0.1049
7,-2.56,-7.68,-0.3307,0.105
7,2.56,-7.68,-0.346,0.1053
7,7.68,-7.68,-0.3617,0.1055
7,12.8,-7.68,-0.3771,0.1055
7,17.92,-7.68,-0.3925,0.1058
7,-17.92,-2.56,-0.2843,0.1199
7,-12.8,-2.56,-0.2999,0.12
7,-7.68,-2.56,-0.3153,0.1203
7,-2.56,-2.56,-0.3309,0.1206
7,2.56,-2.56,-0.3464,0.1206
7,7.68,-2.56,-0.3618,0.1208
7,12.8,-2.56,-0.3774,0.1212
7,17.92,-2.56,-0.3927,0.1213
7,-17.92,2.56,-0.2845,0.1354
7,-12.8,2.56,-0.2998,0.1355
7,-7.68,2.56,-0.3157,0.1358
7,-2.56,2.56,-0.331,0.1359
7,2.56,2.56,-0.3466,0.136
7,7.68,2.56,-0.362,0.1363
7,12.8,2.56,-0.3775,0.1364
7,17.92,2.56,-0.3929,0.1367
7,-17.92,7.68,-0.2845,0.151
7,-12.8,7.68,-0.3001,0.1511
7,-7.68,7.68,-0.3157,0.1514
7,-2.56,7.68,-0.3312,0.1515
7,2.56,7.68,-0.3468,0.1515
7,7.68,7.68,-0.3621,0.1518
7,12.8,7.68,-0.3777,0.1519
7,17.92,7.68,-0.3931,0.1521
7,-17.92,12.8,-0.2846,0.1665
7,-12.8,12.8,-0.3003,0.1667
7,-7.68,12.8,-0.3159,0.1668
7,-2.56,12.8,-0.3314,0.167
7,2.56,12.8,-0.3469,0.1671
7,7.68,12.8,-0.3624,0.1673
7,12.8,12.8,-0.3779,0.1674
7,17.92,12.8,-0.3933,0.1676
7,-17.92,17.92,-0.285,0.1821
7,-12.8,17.92,-0.3004,0.182
7,-7.68,17.92,-0.316,0.1823
7,-2.56,17.92,-0.3315,0.1826
7,2.56,17.92,-0.3471,0.1826
7,7.68,17.92,-0.3626,0.1828
7,12.8,17.92,-0.378,0.1829
7,17.92,17.92,-0.3935,0.1831
8,-17.92,-17.92,-0.2841,-0.0725
8,-12.8,-17.92,-0.2994,-0.0722
8,-7.68,-17.92,-0.3149,-0.0721
8,-2.56,-17.92,-0.3302,-0.0718
8,2.56,-17.92,-0.3456,-0.0714
8,7.68,-17.92,-0.3609,-0.0713
8,12.8,-17.92,-0.3761,-0.0709
8,17.92,-17.92,-0.3915,-0.0706
8,-17.92,-12.8,-0.2843,-0.0575
8,-12.8,-12.8,-0.2997,-0.0572
8,-7.68,-12.8,-0.3151,-0.0571
8,-2.56,-12.8,-0.3304,-0.0568
8,2.56,-12.8,-0.3457,-0.0565
8,7.68,-12.8,-0.3612,-0.0562
8,12.8,-12.8,-0.3765,-0.0559
8,17.92,-12.8,-0.3918,-0.0555
8,-17.92,-7.68,-0.2845,-0.0423
8,-12.8,-7.68,-0.3001,-0.042
8,-7.68,-7.68,-0.3152,-0.0416
8,-2.56,-7.68,-0.3307,-0.0416
8,2.56,-7.68,-0.3461,-0.0413
8,7.68,-7.68,-0.3615,-0.0409
8,12.8,-7.68,-0.3767,-0.0408
8,17.92,-7.68,-0.3921,-0.0405
8,-17.92,-2.56,-0.2846,-0.0271
8,-12.8,-2.56,-0.3001,-0.0269
8,-7.68,-2.56,-0.3157,-0.0266
8,-2.56,-2.56,-0.331,-0.0264
8,2.56,-2.56,-0.3463,-0.0261
8,7.68,-2.56,-0.3618,-0.026
8,12.8,-2.56,-0.3771,-0.0257
8,17.92,-2.56,-0.3924,-0.0253
8,-17.92,2.56,-0.285,-0.0119
8,-12.8,2.56,-0.3004,-0.0117
8,-7.68,2.56,-0.3158,-0.0115
8,-2.56,2.56,-0.3312,-0.0113
8,2.56,2.56,-0.3467,-0.011
8,7.68,2.56,-0.362,-0.0107
8,12.8,2.56,-0.3774,-0.0104
8,17.92,2.56,-0.3927,-0.0102
8,-17.92,7.68,-0.2851,0.0032
8,-12.8,7.68,-0.3005,0.0035
8,-7.68,7.68,-0.316,0.0038
8,-2.56,7.68,-0.3315,0.0041
8,2.56,7.68,-0.3469,0.0043
8,7.68,7.68,-0.3623,0.0044
8,12.8,7.68,-0.3777,0.0048
8,17.92,7.68,-0.393,0.0052
8,-17.92,12.8,-0.2852,0.0187
8,-12.8,12.8,-0.3008,0.0188
8,-7.68,12.8,-0.3162,0.0191
8,-2.56,12.8,-0.3317,0.0193
8,2.56,12.8,-0.3472,0.0195
8,7.68,12.8,-0.3627,0.0198
8,12.8,12.8,-0.378,0.0201
8,17.92,12.8,-0.3933,0.0204
8,-17.92,17.92,-0.2854,0.034
8,-12.8,17.92,-0.301,0.0341
8,-7.68,17.92,-0.3163,0.0343
8,-2.56,17.92,-0.3319,0.0345
8,2.56,17.92,-0.3473,0.0348
8,7.68,17.92,-0.3628,0.0349
8,12.8,17.92,-0.3781,0.0351
8,17.92,17.92,-0.3936,0.0354
9,-17.92,-17.92,-0.2851,-0.2011
9,-12.8,-17.92,-0.3003,-0.2008
9,-7.68,-17.92,-0.3156,-0.2006
9,-2.56,-17.92,-0.331,-0.2002
9,2.56,-17.92,-0.3461,-0.1997
9,7.68,-17.92,-0.3613,-0.1996
9,12.8,-17.92,-0.3765,-0.1991
9,17.92,-17.92,-0.3917,-0.1987
9,-17.92,-12.8,-0.2854,-0.1864
9,-12.8,-12.8,-0.3005,-0.186
9,-7.68,-12.8,-0.3159,-0.1858
9,-2.56,-12.8,-0.3312,-0.1855
9,2.56,-12.8,-0.3465,-0.1852
9,7.68,-12.8,-0.3618,-0.1847
9,12.8,-12.8,-0.3769,-0.1845
9,17.92,-12.8,-0.392,-0.1841
9,-17.92,-7.68,-0.2856,-0.1715
9,-12.8,-7.68,-0.3008,-0.1713
9,-7.68,-7.68,-0.3162,-0.171
9,-2.56,-7.68,-0.3315,-0.1706
9,2.56,-7.68,-0.3468,-0.1704
9,7.68,-7.68,-0.362,-0.17
9,12.8,-7.68,-0.3772,-0.1697
9,17.92,-7.68,-0.3924,-0.1693
9,-17.92,-2.56,-0.2858,-0.1566
9,-12.8,-2.56,-0.3011,-0.1564
9,-7.68,-2.56,-0.3165,-0.1561
9,-2.56,-2.56,-0.3319,-0.1558
9,2.56,-2.56,-0.3471,-0.1554
9,7.68,-2.56,-0.3624,-0.1551
9,12.8,-2.56,-0.3775,-0.1549
9,17.92,-2.56,-0.3927,-0.1545
9,-17.92,2.56,-0.286,-0.1418
9,-12.8,2.56,-0.3015,-0.1415
9,-7.68,2.56,-0.3168,-0.1413
9,-2.56,2.56,-0.3322,-0.1409
9,2.56,2.56,-0.3475,-0.1406
9,7.68,2.56,-0.3627,-0.1403
9,12.8,2.56,-0.3779,-0.14
9,17.92,2.56,-0.3932,-0.1396
9,-17.92,7.68,-0.2863,-0.1269
9,-12.8,7.68,-0.3018,-0.1266
9,-7.68,7.68,-0.3172,-0.1264
9,-2.56,7.68,-0.3324,-0.126
9,2.56,7.68,-0.3477,-0.1258
9,7.68,7.68,-0.363,-0.1254
9,12.8,7.68,-0.3782,-0.1251
9,17.92,7.68,-0.3935,-0.1248
9,-17.92,12.8,-0.2864,-0.1119
9,-12.8,12.8,-0.3021,-0.1116
9,-7.68,12.8,-0.3173,-0.1114
9,-2.56,12.8,-0.3327,-0.1111
9,2.56,12.8,-0.3481,-0.1107
9,7.68,12.8,-0.3634,-0.1105
9,12.8,12.8,-0.3787,-0.1101
9,17.92,12.8,-0.3938,-0.1098
9,-17.92,17.92,-0.287,-0.0969
9,-12.8,17.92,-0.3023,-0.0966
9,-7.68,17.92,-0.3176,-0.0964
9,-2.56,17.92,-0.333,-0.0961
9,2.56,17.92,-0.3483,-0.0958
9,7.68,17.92,-0.3637,-0.0954
9,12.8,17.92,-0.3789,-0.0951
9,17.92,17.92,-0.3942,-0.0949
10,-17.92,-17.92,0.1223,-0.0171
10,-12.8,-17.92,0.1066,-0.0171
10,-7.68,-17.92,0.091,-0.0173
10,-2.56,-17.92,0.0755,-0.0173
10,2.56,-17.92,0.0597,-0.0175
10,7.68,-17.92,0.0441,-0.0174
10,12.8,-17.92,0.0284,-0.0175
10,17.92,-17.92,0.0129,-0.0176
10,-17.92,-12.8,0.1223,-0.0018
10,-12.8,-12.8,0.1066,-0.0019
10,-7.68,-12.8,0.0911,-0.002
10,-2.56,-12.8,0.0755,-0.002
10,2.56,-12.8,0.0597,-0.002
10,7.68,-12.8,0.0443,-0.0021
10,12.8,-12.8,0.0284,-0.0021
10,17.92,-12.8,0.0127,-0.0022
10,-17.92,-7.68,0.1225,0.0135
10,-12.8,-7.68,0.1068,0.0134
10,-7.68,-7.68,0.0912,0.0133
10,-2.56,-7.68,0.0756,0.0133
10,2.56,-7.68,0.0599,0.0132
10,7.68,-7.68,0.0442,0.0132
10,12.8,-7.68,0.0285,0.0132
10,17.92,-7.68,0.0128,0.0131
10,-17.92,-2.56,0.1226,0.0288
10,-12.8,-2.56,0.1069,0.0287
10,-7.68,-2.56,0.0912,0.0286
10,-2.56,-2.56,0.0755,0.0286
10,2.56,-2.56,0.0599,0.0286
10,7.68,-2.56,0.0441,0.0285
10,12.8,-2.56,0.0284,0.0285
10,17.92,-2.56,0.0129,0.0285
10,-17.92,2.56,0.1227,0.0442
10,-12.8,2.56,0.1069,0.0441
10,-7.68,2.56,0.0912,0.0442
10,-2.56,2.56,0.0756,0.044
10,2.56,2.56,0.06,0.0439
10,7.68,2.56,0.0441,0.0438
10,12.8,2.56,0.0286,0.0439
10,17.92,2.56,0.0129,0.0438
10,-17.92,7.68,0.1226,0.0597
10,-12.8,7.68,0.107,0.0595
10,-7.68,7.68,0.0914,0.0595
